,id,full_name,is_active
203,76103,Harry Barnes,0
204,76105,Jim Barnes,0
205,76104,Marvin Barnes,0
206,2440,Matt Barnes,0
207,76107,Dick Barnett,0
208,76106,Jim Barnett,0
209,76108,John Barnhill,0
210,76109,Norton Barnhill,0
211,76110,Leo Barnhorst,0
212,76111,John Barr,0
213,76112,Mike Barr,0
214,76113,Thomas Barr,0
215,2857,Andre Barrett,0
216,76114,Ernie Barrett,0
217,1629628,RJ Barrett,0
218,2853,Earl Barron,0
219,344,Dana Barros,0
220,699,Brent Barry,0
221,1003,Drew Barry,0
222,468,Jon Barry,0
223,600013,Rick Barry,0
224,76117,Ed Bartels,0
225,76118,Vic Bartolome,0
226,203115,Will Barton,0
227,101188,Eddie Basden,0
228,76119,Jerry Baskerville,0
229,101138,Brandon Bass,0
230,76120,Tim Bassett,0
231,1766,Maceo Baston,0
232,2370,Mengke Bateer,0
233,76121,Billyray Bates,0
234,1628966,Keita Bates-Diop,0
235,101212,Esteban Batista,0
236,2471,Mike Batiste,0
237,1499,Tony Battie,0
238,2203,Shane Battier,0
239,174,John Battle,0
240,76123,Kenny Battle,0
241,76124,Dave Batton,0
242,201587,Nicolas Batum,0
243,76125,Johnny Baum,0
244,76126,Frankie Baumholtz,0
245,2437,Lonny Baxter,0
246,201573,Jerryd Bayless,0
247,76127,Elgin Baylor,0
248,203382,Aron Baynes,0
249,76128,Sergei Bazarevich,0
250,203145,Kent Bazemore,0
251,1629647,Darius Bazley,0
252,76129,Ed Beach,0
253,203078,Bradley Beal,0
254,76130,Butch Beard,0
255,76131,Ralph Beard,0
256,2602,Jerome Beasley,0
257,1627736,Malik Beasley,0
258,201563,Michael Beasley,0
259,76133,Zelmo Beaty,0
260,201958,Rodrigue Beaubois,0
261,76134,Byron Beck,0
262,1133,Corey Beck,0
263,76136,Ernie Beck,0
264,76137,Moe Becker,0
265,76138,William Bedford,0
266,76139,Hank Beenders,0
267,76140,Ron Behagen,0
268,76141,Elmer Behnke,0
269,201158,Marco Belinelli,0
270,2294,Charlie Bell,0
271,76142,Dennis Bell,0
272,1628395,Jordan Bell,0
273,1952,Raja Bell,0
274,2559,Troy Bell,0
275,76143,William Bell,0
276,76144,Walt Bellamy,0
277,1627761,DeAndre' Bembry,0
278,76145,Irv Bemoras,0
279,76146,Leon Benbow,0
